Price,Beds,Baths,Sq ft,Street,City,Zip
3999.0,3,3,2440.0,9128 FARLINGTON DR,BLACKLICK,43004
1200.0,1,1,629.0,1131 N HIGH ST APT 203,COLUMBUS,43201
1200.0,2,1,936.0,987 OREGON AVE,COLUMBUS,43201
2200.0,3,3,1594.0,5574 SPRING RIVER AVE,DUBLIN,43016
1995.0,2,3,1568.0,1468 ELMWOOD AVE,COLUMBUS,43212
1100.0,2,2,1938.0,3474 NUTCREEK CT,COLUMBUS,43224
2950.0,3,3,1886.0,8272 GRISWOLD DR,NEW ALBANY,43054
1100.0,2,2,1938.0,3487 NUTCREEK CT,COLUMBUS,43224
1395.0,2,2,882.0,2480 RAVENEL DR # B,COLUMBUS,43209
2200.0,3,2,2872.0,461 E BECK ST,COLUMBUS,43206
2000.0,3,2,1687.0,2390 INDIANOLA AVE,COLUMBUS,43202
1095.0,1,1,2270.0,239 WILBER AVE APT 2,COLUMBUS,43215
2400.0,4,3,1556.0,3919 HOFFMAN VALLEY DR,COLUMBUS,43219
2435.0,3,3,1198.0,6944 BENNELL DR,REYNOLDSBURG,43068
3500.0,4,3,2739.0,5970 TETLIN FIELD DR,NEW ALBANY,43054
4250.0,2,2,1921.0,300 W SPRING ST UNIT 504,COLUMBUS,43215
2250.0,3,3,1547.0,2386 LIMESTONE WAY,COLUMBUS,43228
2600.0,3,3,1967.0,6062 WITHERSPOON WAY,WESTERVILLE,43081
5000.0,3,3,1772.0,1568 STANFORD RD,COLUMBUS,43212
6750.0,6,7,6393.0,2607 SWISHER CREEK DR,BLACKLICK,43004
2350.0,3,2,1546.0,93 E LINCOLN AVE,COLUMBUS,43214
2600.0,3,1,936.0,6939 KILE RD,PLAIN CITY,43064
1750.0,3,2,1368.0,3111 OVERTON WAY,REYNOLDSBURG,43068
3000.0,3,2,1890.0,910 MOHAWK ST,COLUMBUS,43206
1940.0,3,1,1152.0,180 W NORWICH AVE,COLUMBUS,43201
4815.0,9,2,2540.0,88 W NORTHWOOD AVE,COLUMBUS,43201
1850.0,4,1,1101.0,1829 RHODA AVE,COLUMBUS,43212
1940.0,3,1,1152.0,180 W NORWICH AVE,COLUMBUS,43201
4815.0,9,2,2540.0,88 W NORTHWOOD AVE,COLUMBUS,43201
1850.0,4,1,1101.0,1829 RHODA AVE,COLUMBUS,43212
2600.0,2,2,1680.0,6956 AVERY RD,DUBLIN,43017
4000.0,3,3,2400.0,1800 CAMBRIDGE BLVD,COLUMBUS,43212
2600.0,2,4,1600.0,801 S FRONT ST,COLUMBUS,43206
2045.0,6,2,972.0,1460 CHELMSFORD SQ N,COLUMBUS,43229
1245.0,3,1,938.0,1320 EDSEL CT,COLUMBUS,43207
1395.0,3,2,2673.0,6632 BIRCHTON ST,DUBLIN,43017
2700.0,3,4,2864.0,5102 POSTLEWAITE RD,COLUMBUS,43235
2475.0,4,3,2723.0,1528 MORRISON FARMS DR,BLACKLICK,43004
1800.0,3,2,1222.0,922 NODDYMILL LN E # 30A,WORTHINGTON,43085
2300.0,1,1,769.0,6633 DALE DR # 311,DUBLIN,43017
1550.0,3,1,2464.0,244 CRESTVIEW RD,COLUMBUS,43202
1500.0,3,1,1440.0,46 E MAYNARD AVE,COLUMBUS,43202
3695.0,4,3,3166.0,6785 MARGARUM BND,NEW ALBANY,43054
2495.0,2,4,1373.0,1517 OAK ST,COLUMBUS,43205
2650.0,3,3,1893.0,408 COTTONTAIL CT,JOHNSTOWN,43031
2600.0,3,4,2268.0,1084 BRYDEN RD # 9,COLUMBUS,43205
1975.0,2,3,1426.0,5123 VININGS BLVD,DUBLIN,43016
2400.0,3,3,2084.0,9042 FARLINGTON DR,BLACKLICK,43004
2700.0,2,2,1402.0,828 BOBCAT AVE APT 504,GRANDVIEW HEIGHTS,43212
2195.0,3,2,1541.0,316 FINSTOCK WAY,GAHANNA,43230
2950.0,2,2,1181.0,279 ALEXANDER ALY,COLUMBUS,43206
2450.0,4,3,1525.0,8340 CRETE LN,BLACKLICK,43004
2500.0,4,3,1981.0,311 KYBER RUN CIR,JOHNSTOWN,43031
2400.0,3,3,1748.0,5571 BOULDER CREST ST,COLUMBUS,43235
850.0,1,1,3125.0,414 E 14TH AVE # 414 1/2,COLUMBUS,43201
1100.0,2,2,6452.0,1890 BALDWIN RD # 1890,REYNOLDSBURG,43068
2400.0,3,2,1294.0,1842 W 5TH AVE,COLUMBUS,43212
1895.0,3,3,1200.0,946 S SPRING RD,WESTERVILLE,43081
2250.0,3,3,1371.0,8577 CLOVER GLADE DR,LEWIS CENTER,43035
1995.0,2,3,1100.0,1466 ELMWOOD AVE,COLUMBUS,43212
950.0,1,1,650.0,513 E DESHLER AVE # 1/2,COLUMBUS,43206
1375.0,2,2,870.0,2960 ASHTON ROW W # 2960AW,GROVE CITY,43123
1249.0,2,1,896.0,45 E MARKISON AVE,COLUMBUS,43207
1599.0,1,1,796.0,286 E GAY ST # G36,COLUMBUS,43215
1990.0,3,6,1590.0,3991 SWEET SHADOW AVE,COLUMBUS,43230
2560.0,3,3,1762.0,1839 SOUTHWESTERN RD,GROVE CITY,43123
5500.0,4,4,2847.0,1086 EDGEHILL RD,GRANDVIEW,43212
2500.0,3,2,4042.0,1855 FONTENAY CT,COLUMBUS,43235
1500.0,2,2,1140.0,2265 HEDGEROW RD # 2265C,COLUMBUS,43220
1250.0,3,1,925.0,2059 BANCROFT ST,COLUMBUS,43219
1750.0,3,2,1260.0,8825 CREVE COEUR LN,POWELL,43065
1855.0,3,2,1210.0,2172 DRUMLIN DR,GROVE CITY,43123
1125.0,2,1,960.0,1064 SCOTT ST,COLUMBUS,43222
1940.0,3,1,1152.0,180 W NORWICH AVE,COLUMBUS,43201
1850.0,4,1,1101.0,1829 RHODA AVE,COLUMBUS,43212
5595.0,4,5,3536.0,4371 OLMSTED RD,NEW ALBANY,43054
1895.0,3,3,1832.0,7955 ASHENDEN DR,BLACKLICK,43004
975.0,1,1,576.0,3041 LA VISTA DR # 41,COLUMBUS,43204
1100.0,2,2,6452.0,1898 BALDWIN RD,REYNOLDSBURG,43068
1800.0,3,3,1796.0,545 CLINE ST,COLUMBUS,43206
2900.0,3,3,2190.0,653 TIMBERLAKE DR,WESTERVILLE,43081
900.0,2,1,4941.0,4677 HILTON AVE APT D,COLUMBUS,43228
1450.0,2,3,1208.0,4861 FARBER ROW # F,COLUMBUS,43221
2000.0,3,2,1380.0,2876 CRANSTON DR,DUBLIN,43017
2600.0,2,3,173548.0,3451 KELLS WAY,GROVE CITY,43123
1695.0,3,1,1496.0,472 E GATES ST,COLUMBUS,43206
